ID_Serie;mae_0ive;mae_S0ive;mae_mae;mae_ETS;mae_NNetar
3016;309.2222222;490.0555556;190.3812261;217.8998447;385.4409823
3017;302;482.1111111;187.2897762;183.5388234;401.6897286
3018;238.6666667;540.8888889;238.6666667;158.4426036;280.2816009
3019;227.2777778;531.4444444;227.2777778;227.2899082;328.610503
3020;28.48888889;39.02222222;28.48888889;28.48275678;102.5949075
3021;40.21538889;56.18611111;40.26165318;40.21538889;55.52816382
3022;40.41866667;56.43336111;40.4657264;40.41866667;59.18683108
3023;40.62194444;56.68061111;40.66977579;40.62194444;54.09577332
3024;48.03333333;237.0444444;48.03333333;100.4845928;57.35914877
3025;761.9638889;1131.455;586.3179265;761.9796849;969.3343752
3026;95.67583333;158.2527778;95.67583333;95.67213547;38.49202778
3027;96.01277778;158.8405556;96.01277778;96.00890445;37.41474957
3028;95.33888889;157.665;95.33888889;95.33510187;40.48131816
3029;43.77777778;220.3916667;43.77777778;43.7773058;50.06873139
3030;44.03888889;221.6888889;44.03888889;44.03838382;59.9448899
3031;43.51666667;219.0944444;43.51666667;43.51618875;69.42847434
3032;375.6666667;845.3888889;375.6666667;943.3014953;191.8059421
3033;97.62555556;115.6561111;250.5096019;17.28581251;46.03406812
3034;100.1686111;134.1391667;275.4529299;42.5543314;90.21952366
3035;1030.114444;807.1427778;167.1850408;981.8918631;681.0776108
3036;1033.751111;799.3577778;170.3971581;985.4688056;715.3009147
3037;1026.985556;814.9277778;163.4334343;901.0218558;728.2445196
3038;86.97354444;134.7590444;44.46583244;86.96982757;77.38933648
3039;85.25123333;132.0905444;43.62500065;85.2478619;78.57585652
3040;690.6222222;879.6222222;280.233931;335.949902;867.9080264
3041;86.11238889;133.4247944;44.04541654;86.10949102;79.41141495
3042;163.1122222;802.7458333;163.1122222;161.1752466;445.5598372
3043;78.05555556;71.94444444;72.74141607;82.78643796;34.60016823
3044;161.7966667;788.1561111;161.7966667;161.0385973;432.708259
3045;78.05555556;70.83333333;73.94230896;81.06289575;39.55031876
3046;164.6677778;817.3355556;164.6677778;161.5716983;375.8042765
3047;332.5788889;353.9205556;332.5788889;332.6594706;339.7305767
3048;37.6;188.4111111;37.6;37.59954719;105.8062363
3049;27.23888889;100.4944444;53.47490746;81.7790595;106.3924233
3050;654.78;541.8377778;654.78;652.1508201;764.3470826
3051;19.17777778;23.00555556;22.34919544;19.17573136;22.14743658
3052;580.8616667;899.7505556;277.8147878;277.1194163;437.4544006
3053;654.78;541.8377778;654.78;652.1600055;752.0547063
3054;580.8616667;899.7505556;277.7893319;277.0572915;369.1604701
3055;92.56666667;176.9722222;92.56666667;92.5653413;184.5351072
3056;205.8027778;362.6527778;148.4509416;115.6754838;142.5260767
3057;35.43166667;317.8947222;43.19905986;35.43350713;281.8266394
3058;1974.888944;2050.263833;1942.040589;1674.964961;2021.202633
3059;41.76944444;329.3127778;37.16375361;41.77130892;277.6862767
3060;1909.615528;2113.894667;1865.322117;1617.181668;2011.737539
3061;77.53833333;82.92916667;63.45430416;75.40682038;105.6637734
3062;30.21166667;307.0533333;49.29190073;30.21317952;289.0370004
3063;82.17611111;86.76;68.00852621;79.97238171;90.48551189
